title,console,genre,publisher,developer
Frogger,PS,Action,Hasbro Interactive,Millenium Interactive
Madden NFL 2003,PS2,Sports,EA Sports,EA Tiburon
Assassin's Creed: Unity,PS4,Action,Ubisoft,Ubisoft Montreal
Destiny 2,PS4,Shooter,Activision,Bungie
FIFA 07 Soccer,PS2,Sports,EA Sports,Team Fusion
Batman: Arkham Knight,PS4,Action,Warner Bros. Interactive,Rocksteady Studios
The Sims 4,PC,Simulation,Electronic Arts,Maxis
Fallout: New Vegas,X360,Role-Playing,Bethesda Softworks,Obsidian Entertainment
Carnival Games,Wii,Misc,Global Star Software,Cat Daddy Games
Far Cry 4,PS4,Shooter,Ubisoft,Ubisoft Montreal
Assassin's Creed Origins,PS4,Action,Ubisoft,Ubisoft Montreal
World Soccer Winning Eleven 9,PS2,Sports,Konami,Konami Computer Entertainment Tokyo
NBA 2K16,PS4,Sports,2K Sports,Visual Concepts
Namco Museum: 50th Anniversary,PS2,Misc,Namco,Digital Eclipse
Far Cry 5,PS4,Action,Ubisoft,Ubisoft
Battlefield 4,PS4,Shooter,Electronic Arts,EA DICE
Assassin's Creed IV: Black Flag,PS3,Action-Adventure,Ubisoft,Ubisoft Montreal
Tony Hawk's Underground,PS2,Sports,Activision,Neversoft Entertainment
Just Dance 2014,Wii,Music,Ubisoft,Ubisoft Paris
World Soccer Winning Eleven 8 International,PS2,Sports,Konami,Konami Computer Entertainment Tokyo
LEGO Indiana Jones: The Original Adventures,X360,Adventure,LucasArts,Traveller's Tales
Ratchet & Clank: Size Matters,PSP,Platform,Sony Computer Entertainment,High Impact Games
FIFA Soccer 2005,PS2,Sports,EA Sports,EA Canada
Tony Hawk's Pro Skater 4,PS2,Sports,Activision,Neversoft Entertainment
MySims,DS,Simulation,Electronic Arts,EA Redwood Shores
Midnight Club 3: DUB Edition,PSP,Racing,Rockstar Games,Rockstar Leeds
Jak and Daxter: The Precursor Legacy,PS2,Platform,Sony Computer Entertainment,Naughty Dog
Pro Evolution Soccer 2008,PS2,Sports,Konami,Konami
FIFA Soccer 10,PS3,Sports,EA Sports,EA Canada
Guitar Hero: World Tour,Wii,Misc,Activision,Vicarious Visions
The Simpsons: Road Rage,PS2,Racing,Electronic Arts,Radical Entertainment
Star Wars Battlefront,PS2,Shooter,LucasArts,Pandemic Studios
Doom II,PC,Shooter,GT Interactive,id Software
Assassin's Creed Syndicate,PS4,Action,Ubisoft,Ubisoft Quebec
Star Wars Battlefront II,PS2,Shooter,LucasArts,Pandemic Studios
WWF SmackDown!,PS,Fighting,THQ,Yuke's
Tomb Raider III: Adventures of Lara Croft,PS,Adventure,Eidos Interactive,Core Design Ltd.
