title,console,genre,publisher,developer
Harry Potter Collection,PS2,Misc,Electronic Arts,Electronic Arts
ESPN NFL Football,PS2,Sports,Sega,Visual Concepts
Final Fantasy IV: The Complete Collection,PSP,Role-Playing,Square Enix,Matrix Software
All-Star Baseball 2002,PS2,Sports,Acclaim Entertainment,Acclaim Entertainment
Dr. Seuss' The Cat in the Hat,PS2,Adventure,VU Games,Magenta Software
Backyard NFL Football,GBA,Sports,Infogrames,Torus Games
Everybody's Golf,PS4,Sports,Sony Interactive Entertainment,Clap Hanz
Frontlines: Fuel of War,X360,Shooter,THQ,Kaos Studios
Jillian Michaels Fitness Ultimatum 2010,Wii,Sports,Majesco,Collision Studios
Arena Football,PS2,Sports,EA Sports,EA Tiburon
DOOM VFR,PS4,Shooter,Bethesda Softworks,id Software
Batman Begins,PS2,Action,Electronic Arts,Eurocom Entertainment Software
Enslaved: Odyssey to the West,PS3,Action,Namco Bandai,Ninja Theory
The Incredible Hulk,GBA,Platform,Universal Interactive,Pocket Studios
"Monsters, Inc. Scream Team",PS,Platform,Sony Computer Entertainment,Artificial Mind and Movement
Dora The Explorer: Dora Saves the Snow Princess,Wii,Platform,2K Play,High Voltage Software
Resident Evil 2,N64,Action,Capcom,Angel Studios
Manhunt 2,PS2,Action,Rockstar Games,Rockstar London
MX 2002 Featuring Ricky Carmichael,PS2,Racing,THQ,Pacific Coast Power & Light
Just Cause 4,PS4,Action-Adventure,Square Enix,Avalanche Studios
Archer Maclean's Mercury,PSP,Puzzle,Ignition Entertainment,Awesome Studios
Ms. Pac-Man Maze Madness,GBA,Puzzle,"Destination Software, Inc",Full-Fat
Classic NES Series: Dr. Mario,GBA,Puzzle,Nintendo,Nintendo
The Amazing Spider-Man 2 (2014),PS4,Action-Adventure,Activision,Beenox
Kingdom Come: Deliverance,PS4,Role-Playing,Deep Silver,Warhorse Studios
NHL Hitz 20-02,PS2,Sports,Midway Games,EA Black Box
Breath of Fire IV,PS,Role-Playing,Capcom,Capcom
Odin Sphere,PS2,Role-Playing,Atlus,Vanillaware
NCAA March Madness 07,PS2,Sports,EA Sports,EA Canada
Cabela's Big Game Hunter 2005 Adventures,PS2,Sports,Activision,Activision
Knockout Kings 2001,PS2,Fighting,EA Sports,Black Ops Entertainment
Soul Reaver 2,PS2,Adventure,Eidos Interactive,Crystal Dynamics
Lords of the Fallen,PS4,Role-Playing,Namco Bandai Games,DECK13 Interactive
Super Robot Taisen F Kanketsuhen,SAT,Strategy,Banpresto,Banpresto
Daytona USA,SAT,Racing,Sega,Sega-AM2
MX vs. ATV: Alive,X360,Racing,THQ,Rainbow Studios
Jak X: Combat Racing,PS2,Racing,Sony Computer Entertainment,Naughty Dog
Monster Jam: Path of Destruction,Wii,Racing,Activision,Virtuos
Rory McIlroy PGA Tour,PS4,Sports,Electronic Arts,EA Tiburon
Barbie Horse Adventures: Riding Camp,DS,Sports,Activision,Pixel Tales
Super Robot Taisen F,SAT,Action,Banpresto,Banpresto
Project CARS 2,PS4,Racing,Namco Bandai Games,Slightly Mad Studios
Tiger Woods PGA Tour 13,PS3,Sports,Electronic Arts,EA Tiburon
Batman: Vengeance,PS2,Adventure,Ubisoft,Ubisoft Montreal
Purr Pals,DS,Simulation,Crave Entertainment,inXile
Catz,DS,Simulation,Ubisoft,Powerhead Games
Sniper Elite 4,PS4,Shooter,Rebellion Developments,Rebellion Developments
Spec Ops: The Line,PS3,Shooter,2K Games,Yager Development
Fighting Force 2,PS,Action,Eidos Interactive,Core Design Ltd.
Lunar: Silver Star Story Complete,PS,Role-Playing,Working Designs,Game Arts
Sakura Wars,SAT,Adventure,Sega,Overworks
American Idol,PS2,Misc,Codemasters,Hothouse Creations
Legends of WrestleMania,PS3,Fighting,THQ,Yuke's
NBA Showtime: NBA on NBC,PS,Sports,Midway Games,Eurocom Entertainment Software
The Activision Decathlon,2600,Sports,Activision,Activision
Rapala Tournament Fishing!,Wii,Sports,Activision,Magic Wand Productions
Disgaea 3: Absence of Justice,PS3,Role-Playing,NIS America,Nippon Ichi Software
Grease,Wii,Misc,505 Games,Zoe Mode
Top Gun: Fire at Will!,PS,Misc,Spectrum Holobyte,MicroProse
Bratz: Rock Angelz,GBA,Misc,THQ,Blitz Games
War of the Monsters,PS2,Fighting,Sony Computer Entertainment,Incognito Entertainment
METRO 2033,X360,Shooter,THQ,4a-games
ESPN NBA Basketball,PS2,Sports,Sega,Visual Concepts
FIFA 99,N64,Sports,EA Sports,EA Canada
Are You Smarter than a 5th Grader? Make the Grade,Wii,Misc,THQ,THQ
Mat Hoffman's Pro BMX,PS,Sports,Activision,Shaba Games
NBA Live 10,PS3,Sports,EA Sports,EA Canada
F.E.A.R.,PS3,Shooter,Vivendi Games,Day 1 Studios
Gauntlet Legends,N64,Action,Midway Games,Atari Games
The Hobbit,PS2,Adventure,Sierra Entertainment,Midway Studios - Austin
Harry Potter and the Deathly Hallows - Part 1,Wii,Action,Electronic Arts,EA Bright Light
The Incredible Hulk: Ultimate Destruction,PS2,Action,VU Games,Radical Entertainment
Dynasty Warriors: Gundam 3,PS3,Action,Tecmo Koei,Omega Force
System 3 presents Ferrari Challenge Trofeo Pirelli,Wii,Racing,Activision,Eutechnyx
Crash Tag Team Racing,PS2,Racing,VU Games,Radical Entertainment
Over the Hedge,PS2,Platform,Activision,Edge of Reality
Popeye,2600,Platform,Parker Bros.,Parker Bros.
50 Classic Games,DS,Misc,Destineer,cerasus.media GmbH
The Sims 3: Pets,PC,Simulation,Electronic Arts,The Sims Studio
Mega Man Battle Network 2,GBA,Role-Playing,Capcom,Capcom
Valkyria Chronicles II,PSP,Role-Playing,Sega,Sega WOW Overworks
Two Worlds II,X360,Role-Playing,SouthPeak Interactive,Reality Pump
SRS: Street Racing Syndicate,PS2,Racing,Namco,Eutechnyx
Terminator Salvation,PS3,Shooter,Warner Bros. Interactive,GRIN
Conflict: Vietnam,PS2,Shooter,Global Star Software,Pivotal Games
2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,XB,Misc,Sega,Sega
NASCAR 09,PS2,Racing,EA Sports,EA Tiburon
Gex 3: Deep Cover Gecko,PS,Platform,Eidos Interactive,Crystal Dynamics
Ty the Tasmanian Tiger 2: Bush Rescue,PS2,Platform,Electronic Arts,Krome Studios
NCAA March Madness 06,PS2,Sports,EA Sports,EA Canada
NCAA March Madness 2005,PS2,Sports,EA Sports,EA Canada
F1 2018,PS4,Racing,Codemasters,Codemasters Birmingham
Juiced,PS2,Racing,THQ,Juice Games
Oni,PS2,Action,Rockstar Games,Rockstar Toronto
How to Train Your Dragon,DS,Action,Activision,Griptonite Games
Clock Tower,PS,Adventure,ASCII Entertainment,Human Entertainment
Legacy of Kain: Defiance,PS2,Adventure,Eidos Interactive,Crystal Dynamics
Phoenix Wright: Ace Attorney - Justice for All,DS,Adventure,Capcom,Capcom
MLB SlugFest 20-04,PS2,Sports,Midway Games,Criterion Games
The Warriors,PS2,Action,Rockstar Games,Rockstar Toronto
G-Force,DS,Action,Disney Interactive Studios,Keen Games
Romance of the Three Kingdoms IV: Wall of Fire,SNES,Strategy,KOEI,Koei / Inis
Winning Post,SNES,Sports,KOEI,Koei
NBA 06,PS2,Sports,Sony Computer Entertainment,SCE San Diego Studio
Inazuma Eleven,DS,Role-Playing,Nintendo,Level 5
F.E.A.R. 2: Project Origin,X360,Shooter,Warner Bros. Interactive,Monolith Productions
The 3rd Birthday,PSP,Role-Playing,Square Enix,HexaDrive
Naruto Shippuden: Ultimate Ninja Storm 3,X360,Fighting,Namco Bandai Games,CyberConnect2
The Grinch,PS,Adventure,Konami,Artificial Mind and Movement
SSX On Tour,PS2,Sports,EA Sports BIG,EA Canada
SimAnimals,DS,Simulation,Electronic Arts,Electronic Arts
Mega Man 6,NES,Platform,Nintendo,Capcom
Silent Hill: Origins,PSP,Action,Konami,Climax Group
Tomb Raider: Legend,PS2,Action,Eidos Interactive,Crystal Dynamics
Way of the Samurai 3,PS3,Action,Agetec,Acquire
Mario Tennis: Power Tour,GBA,Sports,Nintendo,Camelot Software Planning
Freedom Fighters,PS2,Shooter,Electronic Arts,IO Interactive
The Punisher,PS2,Shooter,THQ,Volition Inc.
Alice in Wonderland,Wii,Adventure,Disney Interactive Studios,Etranges Libellules
Summoner,PS2,Role-Playing,THQ,Volition Inc.
Final Fantasy,WS,Role-Playing,Square,SquareSoft
International Track & Field,PS,Sports,Konami,Konami
"SpongeBob SquarePants: Lights, Camera, Pants!",GBA,Misc,THQ,WayForward Technologies
Capcom Classics Collection,PS2,Misc,Capcom,Digital Eclipse
Monopoly Party,PS2,Misc,Infogrames,Runecraft
DiRT Rally,PS4,Racing,Codemasters,Codemasters
Pac-Man Fever,PS2,Misc,Namco,Mass Media
Dynasty Warriors,PSP,Action,Tecmo Koei,Omega Force
The BIGS,PS2,Sports,2K Sports,Blue Castle Games
Hitman 2,PS4,Action-Adventure,Warner Bros. Interactive Entertainment,IO Interactive
Test Drive Unlimited,PSP,Racing,Atari,Melbourne House
Prince of Persia Trilogy,PS3,Action,Ubisoft,Ubisoft
Major League Baseball 2K10,X360,Sports,2K Sports,Visual Concepts
Wrecking Crew,NES,Platform,Nintendo,Nintendo
Monsters vs. Aliens,DS,Platform,Activision,Amaze Entertainment
Petz: Hamsterz Life 2,DS,Action,Ubisoft,Unknown
The Saboteur,X360,Action,Electronic Arts,Pandemic Studios
Fire Emblem Warriors,NS,Action,Nintendo,Omega Force
Jikkyou Powerful Pro Yakyuu 10,PS2,Sports,Konami,Diamond Head
Virtual Pool,PS,Sports,Interplay,Celeris
SoulCalibur: Broken Destiny,PSP,Fighting,Namco Bandai,Project Soul
Halo Wars 2,XOne,Strategy,Microsoft Studios,Creative Assembly
DC Universe Online,PS3,MMO,Sony Online Entertainment,WBIE
NHL 07,PS2,Sports,EA Sports,EA Montreal
Silent Hill 4: The Room,PS2,Adventure,Konami,KCET
Hidden Mysteries: Titanic - Secrets of the Fateful Voyage,DS,Adventure,Activision,Black Lantern Studios
Men in Black II: Alien Escape,PS2,Shooter,Infogrames,Melbourne House
Star Wars: Clone Wars,PS2,Shooter,LucasArts,Pandemic Studios
Homefront: The Revolution,PS4,Shooter,Deep Silver,Dambuster Studios
Attack on Titan,PS4,Action,Tecmo Koei,Omega Force
Gauntlet,2600,Action,Answer Software,Answer Software
Rock Band Unplugged,PSP,Misc,MTV Games,Backbone Entertainment / Harmonix Music Systems
RealSports Tennis,2600,Sports,Atari,Atari
NHL 09,X360,Sports,Electronic Arts,EA Canada
Bakugan Battle Brawlers: Defenders of the Core,DS,Action,Activision,Now Production
Shrek SuperSlam,PS2,Action,Activision,Shaba Games
Monster Hunter,PS2,Role-Playing,Capcom,Capcom
Dragon's Crown,PS3,Role-Playing,Atlus,Vanillaware
Monster Hunter Portable 3rd HD Ver.,PS3,Role-Playing,Capcom,Capcom
RPG Maker,PS,Role-Playing,Agetec,Agetec Inc.
Major League Baseball 2K12,X360,Sports,Take-Two Interactive,"Visual Concepts, Ltd."
Major League Baseball 2K13,X360,Sports,2K Sports,"Visual Concepts, Ltd."
Picross 3D,DS,Puzzle,Nintendo,HAL Laboratory
Fantastic 4,PS2,Action,Activision,7 Studios
Pro Evolution Soccer 2019,PS4,Sports,Konami,Konami
The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,GBA,Adventure,THQ,Tantalus Interactive
Rooms: The Main Building,DS,Adventure,Hudson Soft,HandMade Game
Avatar: The Last Airbender,GC,Adventure,THQ,AWE Games
Looney Tunes: Back in Action,PS2,Platform,Warner Bros. Interactive,Warthog
Crash: Mind Over Mutant,PS2,Platform,Activision,Radical Entertainment
Nicktoons: Attack of the Toybots,PS2,Platform,THQ,Blue Tongue Entertainment
Sega Bass Fishing,Wii,Sports,Sega,Cavia Inc.
Bases Loaded '96: Double Header,PS,Sports,Jaleco,Jaleco Entertainment
NBA Street Homecourt,X360,Sports,EA Sports,EA Canada
The Mummy Returns,PS2,Action,Universal Interactive,Blitz Games
Hitman: Blood Money,PS2,Action,Eidos Interactive,IO Interactive
R.U.S.E.,PS3,Strategy,Ubisoft,Eugen Systems
Star Wars: Jedi Starfighter,PS2,Simulation,LucasArts,Secret Level
Activision Anthology,PS2,Misc,Activision,Contraband Entertainment
WipEout Pulse,PS2,Racing,Sony Computer Entertainment,Studio Liverpool
The Matrix: Path of Neo,PS2,Action,Atari,Shiny Entertainment
Dynasty Warriors: Gundam 2,PS3,Action,Namco Bandai,Omega Force
Backyard Baseball,PS2,Sports,Atari,Humongous Entertainment
Dreamworks Madagascar Kartz,Wii,Racing,Activision,Sidhe Interactive
SpongeBob SquarePants: Creature from the Krusty Krab,Wii,Platform,THQ,Blitz Games
Spy Hunter 2,PS2,Racing,Midway Games,Angel Studios
DiRT 4,PS4,Racing,Deep Silver,Codemasters
Boogie,Wii,Misc,Electronic Arts,EA Montreal
Alone in the Dark,X360,Adventure,Atari,Eden Studios
Barbie Horse Adventures: Wild Horse Rescue,PS2,Sports,Universal Interactive,Blitz Games
Ice Hockey,2600,Sports,Activision,Activision
Millipede,2600,Shooter,Atari,Atari
Wolfenstein: The Old Blood,PS4,Shooter,Bethesda Softworks,MachineGames
Battleborn,PS4,Shooter,2K Games,Gearbox Software
Dark Sector,X360,Shooter,D3 Publisher,Digital Extremes
Pinball Hall of Fame: The Williams Collection,Wii,Misc,Crave Entertainment,FarSight Studios
Zoo Tycoon (2013),XOne,Simulation,Microsoft Studios,Frontier Developments
Harvest Moon 64,N64,Simulation,Natsume,Toy Box Studios
Vigilante 8: 2nd Offense,PS,Racing,Activision,"Luxoflux, Inc."
ECW Hardcore Revolution,PS,Fighting,Acclaim Entertainment,Acclaim
Bratz: The Movie,PS2,Simulation,THQ,Blitz Games
Sonic Lost World,3DS,Platform,Sega,Dimps Corporation
Friday the 13th: The Game,PS4,Action,Gun Media,IllFonic
Secret Weapons Over Normandy,PS2,Simulation,LucasArts,Totally Games
Crazy Taxi: Fare Wars,PSP,Racing,Sega,Sniper Studios
Bass Pro Shops: The Strike,Wii,Sports,XS Games,Griffin International
All-Star Baseball 99,N64,Sports,Acclaim Entertainment,Iguana Entertainment
Atelier Rorona: Alchemist of Arland,PS3,Role-Playing,NIS America,Gust
The Legend of the Mystical Ninja,SNES,Adventure,Konami,Konami
Destroy All Humans! 2,PS2,Adventure,THQ,Pandemic Studios
A Way Out,PS4,Action,Electronic Arts,Hazelight
Football Manager Handheld 2009,PSP,Sports,Sega,Sports Interactive
Batman: Arkham Origins Blackgate,PSV,Action-Adventure,Warner Bros. Interactive Entertainment,Armature Studio
Shadowrun (2007),X360,Shooter,Microsoft Game Studios,FASA Studio
Godzilla: Save the Earth,PS2,Fighting,Atari,"Pipeworks Software, Inc."
Petz Sports,Wii,Simulation,Ubisoft,Ubisoft Montreal
Dead Space Extraction,Wii,Shooter,Electronic Arts,Visceral Games
Doom 64,N64,Shooter,Midway Games,Midway Studios San Diego
Deadpool,PS3,Action,Activision,High Moon Studios
Kong: The 8th Wonder of the World,GBA,Action,Ubisoft,Ubisoft Casablanca
X-Men: Next Dimension,PS2,Fighting,Activision,Paradox Development
Dragon Age Origins: Awakening,X360,Role-Playing,Electronic Arts,BioWare Corp.
Final Fantasy Crystal Chronicles: Echoes of Time,DS,Role-Playing,Square Enix,Square Enix
Bomberman Hero,N64,Platform,Nintendo,AI
Sonic Mania,NS,Platform,Sega,PagodaWest Games
NBA Ballers: Phenom,PS2,Sports,Midway Games,Midway
Ford Racing Off Road,Wii,Racing,Empire Interactive,Razorworks Studios
Dynasty Warriors Gundam,PS3,Action,Namco Bandai,Omega Force
Hot Wheels Velocity X,PS2,Racing,THQ,Beyond Games
L.A. Rush,PS2,Racing,Midway Games,The Pitbull Syndicate Limited
The Godfather (JP sales),PS2,Action,Electronic Arts,Headgate
World Series of Poker,PS2,Misc,Activision,Activision Value
Viva Pinata: Trouble in Paradise,X360,Simulation,Microsoft Game Studios,Rare Ltd.
Commando,2600,Action,Activision,Data East
Dragon Quest Heroes II: Twin Kings and the Prophecy's End,PS4,Action,Square Enix,Omega Force
Spider-Man: Friend or Foe,DS,Action,Activision,Artificial Mind and Movement
TrackMania Turbo,PS4,Racing,Ubisoft,Nadeo
Detective Pikachu,3DS,Adventure,Nintendo,Creatures Inc.
Alien Trilogy,PS,Shooter,Acclaim Entertainment,Probe Entertainment Limited
Jurassic World Evolution,PS4,Simulation,Frontier Developments,Frontier Developments
Luigi's Mansion,3DS,Adventure,Nintendo,GREZZO
ICO,PS2,Adventure,Sony Computer Entertainment,Team ICO
Silent Hill: Downpour,PS3,Adventure,Konami,Konami
Pirates of the Caribbean: Dead Man's Chest,GBA,Adventure,Buena Vista,Amaze Entertainment
NHL 97,PS,Sports,EA Sports,Visual Concepts
Double Dragon,2600,Action,Activision,Activision
Top Spin,XB,Sports,Microsoft Game Studios,Pam Development
Space Invaders,SNES,Shooter,Nintendo,Taito Corporation
The Mark of Kri,PS2,Action,Sony Computer Entertainment,SCE San Diego Studio
Momotarou Dentetsu 11,PS2,Misc,Hudson Soft,Hudson Soft
Hydro Thunder,PS,Racing,Midway Games,Blue Shift
Gremlins,2600,Action,Atari,Atari
State of Decay 2,XOne,Action-Adventure,Microsoft Studios,Undead Labs
Dragon Ball Z: Sagas,PS2,Fighting,Atari,Avalanche Software
Bloody Roar II,PS,Fighting,Sony Computer Entertainment,Eighting / Raizing
Mat Hoffman's Pro BMX 2,PS2,Sports,Activision,Rainbow Studios
Brothers In Arms: Earned In Blood,PS2,Action,Ubisoft,Unknown
Classic NES Series: Pac-Man,GBA,Puzzle,Nintendo,Nintendo
Crayon Shin-Chan: Arashi o Yobu Enji,SNES,Platform,Bandai,Bandai
Stuart Little 2,GBA,Platform,Activision,Creations
LEGO DC Super-Villains,PS4,Action-Adventure,Warner Bros. Interactive Entertainment,Traveller's Tales
Red Faction: Armageddon,PS3,Shooter,THQ,Volition Inc.
Syphon Filter: Logan's Shadow,PSP,Shooter,Sony Computer Entertainment,SCEA Bend Studio
Razor Freestyle Scooter,PS,Sports,Crave Entertainment,Shaba Games
SimCity Creator,Wii,Simulation,Electronic Arts,The Sims Studio
Star Wars: Demolition,PS,Racing,LucasArts,"Luxoflux, Inc."
Mass Effect Trilogy,PS3,Action,Electronic Arts,BioWare
Delta Force: Black Hawk Down,PS2,Shooter,NovaLogic,Rebellion Developments
Enemy Territory: Quake Wars,X360,Shooter,Activision,Nerve Software
Walt Disney World Quest: Magical Racing Tour,PS,Racing,Eidos Interactive,Crystal Dynamics
Vandal Hearts,PS,Role-Playing,Konami,Konami Computer Entertainment Tokyo
Star Ocean 5: Integrity and Faithlessness,PS4,Role-Playing,Square Enix,tri-Ace
Karaoke Revolution Presents American Idol Encore,Wii,Misc,Konami,Blitz Games
Brain Challenge,DS,Misc,Ubisoft,Gameloft
God Eater 2,PSV,Misc,Namco Bandai Games,Shift
Defender II,2600,Shooter,Atari,"Williams Electronic Games, Inc."
F.E.A.R. 3,PS3,Shooter,Warner Bros. Interactive,Day 1 Studios
Jikkyou Powerful Pro Yakyuu 12,PS2,Sports,Konami,PawaPuro Production
NFL Head Coach,PS2,Sports,EA Sports,EA Tiburon
Phantasy Star Online Episode I & II,GC,Role-Playing,Sega,Sonic Team
Naruto Shippuden: Ultimate Ninja Storm Revolution,PS3,Fighting,Namco Bandai Games,CyberConnect2
Fable Anniversary,X360,Role-Playing,Microsoft Studios,Lionhead Studios
Billiards,PS,Sports,Agetec,argent
2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild,GBA,Platform,THQ,Climax Group / ImaginEngine
Skylanders Imaginators,WiiU,Platform,Activision,Toys for Bob
Apocalypse,PS,Action,Activision,Neversoft Entertainment
The Powerpuff Girls: Relish Rampage,PS2,Action,BAM! Entertainment,VIS Entertainment
NHL 2005,PS2,Sports,EA Sports,EA Canada
Yakuza Kiwami,PS4,Adventure,Sega,Sega
Sphinx and the Cursed Mummy,PS2,Adventure,THQ,Eurocom Entertainment Software
Scooby-Doo! Mystery Mayhem,PS2,Adventure,THQ,Artificial Mind and Movement
Worms: Open Warfare 2,PSP,Strategy,THQ,Team17 Software / Two Tribes
Ghostbusters,2600,Action,Activision,Atari
Dynasty Warriors: Strikeforce,PSP,Action,Tecmo Koei,Omega Force
American Girl: Kit Mystery Challenge!,DS,Adventure,THQ,"Webfoot Technologies, Inc."
Barbie as The Island Princess,Wii,Adventure,Activision,Human Soft / Ivolgamus
Fatal Fury 2,SNES,Fighting,Takara,SNK Corporation
Mobile Suit Gundam,PS,Action,Bandai,Bandai
Bee Movie Game,DS,Action,Activision,Vicarious Visions
TNA iMPACT!,X360,Fighting,Midway Games,Midway Studios Los Angeles
Scooby-Doo! and the Spooky Swamp,Wii,Action,Warner Bros. Interactive,Torus Games
Terraria,PS3,Action-Adventure,505 Games,Engine Software
Vin Diesel: Wheelman,X360,Racing,Ubisoft,Tigon
Burnout Dominator,PSP,Racing,Electronic Arts,Criterion Games
Silent Hill: Homecoming,X360,Action,Konami,Double Helix Games
Pokémon Puzzle League,N64,Puzzle,Nintendo,Nintendo Software Technology Corporation
Persona,PS,Role-Playing,Atlus,Atlus Co.
SingStar Take That,PS2,Misc,Sony Computer Entertainment,SCEE London Studio
Tales of Zestiria,PS4,Role-Playing,Namco Bandai Games,Namco Bandai Games
Phoenix,2600,Shooter,Atari,Centuri
Star Wars Jedi Knight: Jedi Academy,XB,Shooter,LucasArts,Vicarious Visions
Missile Command,PS,Shooter,Hasbro Interactive,Meyer/Glass Interactive
SOCOM: U.S. Navy SEALs Fireteam Bravo 3,PSP,Shooter,Sony Computer Entertainment,Slant Six Games
Major League Baseball 2K11,X360,Sports,2K Sports,Visual Concepts
Virtua Tennis 4,PS3,Sports,Sega,Sega-AM2
Brunswick Pro Bowling,X360,Sports,Crave Entertainment,FarSight Studios
World Soccer Winning Eleven 5 Final Evolution,PS2,Sports,Konami,Konami
Transformers: Fall of Cybertron,X360,Action,Activision,High Moon Studios
Blood Omen: Legacy of Kain,PS,Role-Playing,Crystal Dynamics,Silicon Knights
Eternal Sonata,PS3,Role-Playing,Namco Bandai,Tri-Crescendo
NFL Blitz 20-03,PS2,Sports,Midway Games,Point of View
Metro: Last Light,PS3,Shooter,Deep Silver,4a-games
Independence Day,PS,Shooter,Fox Interactive,Radical Entertainment
Shin Megami Tensei: Devil Survivor Overclocked,3DS,Role-Playing,Atlus,Career Soft
God Eater 2: Rage Burst,PSV,Role-Playing,Namco Bandai Games,Namco Bandai Games
Spider-Man: Shattered Dimensions,PS3,Action,Activision,Beenox Studios
Ben 10 Alien Force: Vilgax Attacks,Wii,Action,D3 Publisher,Papaya Studio Corporation
Thrillville: Off the Rails,Wii,Strategy,LucasArts,Frontier Developments
Naughty Bear,PS3,Action,505 Games,Artificial Mind and Movement
Robert Ludlum's The Bourne Conspiracy,X360,Action,Sierra Entertainment,High Moon Studios
SingStar Motown,PS2,Misc,Sony Computer Entertainment,SCEE London Studio
Major League Baseball 2K6,PS2,Sports,2K Sports,Kush Games
Spawn: Armageddon,PS2,Action,Namco,Point of View
Sleeping Dogs: Definitive Edition,PS4,Action,Square Enix,United Front Games
Sid Meier's Civilization VI,PC,Strategy,2K Games,Firaxis Games
The Thing,PS2,Adventure,VU Games,Computer Artworks
Neon Genesis Evangelion,SAT,Adventure,Sega,Gainax
Rock Band Country Track Pack,Wii,Misc,MTV Games,Harmonix Music Systems
Super Breakout,2600,Puzzle,Atari,Atari
Jikkyou Powerful Pro Yakyuu 9,PS2,Sports,Konami,Diamond Head
Viking: Battle for Asgard,X360,Action,Sega,The Creative Assembly
Transformers: Revenge of the Fallen -- Autobots,DS,Action,Activision,Vicarious Visions
Teenage Mutant Ninja Turtles 2: Battle Nexus,PS2,Action,Konami,Konami
Ninja Gaiden 3,PS3,Action,Tecmo Koei,Team Ninja
Van Helsing,PS2,Action,VU Games,Saffire Corporation
Puppy Luv: Spa and Resort,DS,Simulation,Activision,Humagade
Chocobo Racing,PS,Racing,Square EA,SquareSoft
Karaoke Revolution,Wii,Misc,Konami,Blitz Games
Child of Eden,X360,Shooter,Ubisoft,Q Entertainment
Classic NES Series: Metroid,GBA,Adventure,Nintendo,Nintendo
"Barbie: Jet, Set & Style!",DS,Misc,THQ,THQ
Bionicle,PS2,Platform,Electronic Arts,Argonaut Games
Cool Boarders,PS,Sports,Sony Computer Entertainment,UEP Systems
NHL 19,PS4,Sports,EA Sports,EA Canada
My Spanish Coach,DS,Misc,Ubisoft,Sensory Sweep Studios
Trials Fusion,PS4,Misc,Ubisoft,Unknown
Primal,PS2,Action,Sony Computer Entertainment,SCEE Cambridge
Def Jam Icon,PS3,Action,Electronic Arts,Unknown
Asura's Wrath,PS3,Action,Capcom,CyberConnect2
Barbie: Groom and Glam Pups,DS,Action,THQ,THQ
Atelier Totori: The Adventurer of Arland,PS3,Role-Playing,NIS America,Gust
Alpha Protocol,PS3,Role-Playing,Sega,Obsidian Entertainment
Spec Ops: Covert Assault,PS,Shooter,Take-Two Interactive,Runecraft
NiGHTS into dreams...,SAT,Platform,Sega,Sonic Team
Petz: Horsez 2,DS,Simulation,Ubisoft,Ubisoft
Hello Neighbor,XOne,Action,Gearbox Software,Dynamic Pixels
Cabela's Legendary Adventures,PS2,Sports,Activision,Sand Grain Studios
Dragon Quest X,WiiU,MMO,Square Enix,Square Enix
Mega Man Legends 2,PS,Adventure,Capcom,Capcom
Army Men: Sarge's Heroes 2,N64,Shooter,3DO,3DO
NHL 2K6,PS2,Sports,2K Sports,Kush Games
25 To Life,PS2,Shooter,Eidos Interactive,Avalanche Software / Ritual Entertainment
BloodRayne,PS2,Shooter,Majesco,Terminal Reality
Jikkyou Powerful Pro Yakyuu 11,PS2,Sports,Konami,Diamond Head
All-Star Baseball 2004,PS2,Sports,Acclaim Entertainment,Acclaim Entertainment
Farming Simulator 2015,PS3,Simulation,Focus Home Interactive,Giants Software
Castlevania: The Dracula X Chronicles,PSP,Platform,Konami,Konami
Jimmy Neutron: Boy Genius,GBA,Platform,THQ,Human Soft
Mega Man X6,PS,Platform,Capcom,Capcom
The Legend of Spyro: The Eternal Night,PS2,Platform,Sierra Entertainment,Krome Studios
Mirror's Edge Catalyst,PS4,Platform,Electronic Arts,EA DICE
Superman: Shadow of Apokolips,PS2,Action,Atari,Infogrames
Arc the Lad III,PS,Role-Playing,Sony Computer Entertainment,ARC Entertainment
Grandia,SAT,Role-Playing,ESP,Game Arts
Mega Man Battle Network,GBA,Role-Playing,Capcom,Capcom
Horsez,DS,Simulation,Ubisoft,MTO
Dishonored: Definitive Edition,PS4,Action,Bethesda Softworks,Arkane Studios
The Suffering,PS2,Action,Midway Games,Surreal Software
Castlevania: Curse of Darkness,PS2,Action,Konami,Konami
Avatar: The Last Airbender - The Burning Earth,PS2,Action,THQ,THQ Australia
Command & Conquer 3: Tiberium Wars,X360,Strategy,Electronic Arts,EA Los Angeles
Saints Row IV: Re-Elected,PS4,Action,Deep Silver,Volition Inc.
Sonic Gems Collection,GC,Misc,Sega,Sonic Team
SpongeBob's Truth or Square (US sales),DS,Action,THQ,Heavy Iron Studios
American Chopper,PS2,Racing,Activision,Creat Studio
F1 2014,PS3,Racing,Codemasters,Codemasters Birmingham
Dr. Mario 64,N64,Puzzle,Nintendo,Newcom
The Adventures of Jimmy Neutron Boy Genius: Jet Fusion,PS2,Action,THQ,Krome Studios
Hot Wheels World Race,PS2,Racing,THQ,Climax Group
Cyber Troopers Virtual-On,SAT,Fighting,Sega,Sega-AM3
X-Men vs. Street Fighter,PS,Fighting,Capcom,Capcom
TRON: Evolution,PS3,Action,Disney Interactive Studios,Propaganda Games
High Rollers Casino,PS2,Misc,Mud Duck Productions,Bethesda Softworks
